id,species
0,versicolor
1,virginica
2,virginica
3,versicolor
4,setosa
5,versicolor
6,setosa
7,virginica
8,setosa
9,versicolor
10,versicolor
11,versicolor
12,versicolor
13,setosa
14,setosa
15,virginica
16,versicolor
17,virginica
18,virginica
19,versicolor
20,virginica
21,setosa
22,versicolor
23,setosa
24,setosa
25,setosa
26,setosa
27,virginica
28,setosa
29,virginica
30,virginica
31,virginica
32,versicolor
33,setosa
34,setosa
35,versicolor
36,virginica
37,virginica
38,versicolor
39,versicolor
40,setosa
41,versicolor
42,setosa
43,virginica
44,virginica
