petal_length,petal_width,sepal_length,sepal_width,species
very small,very small,small,small,setosa
normal,normal,large,small,versicolor
very small,very small,small,large,setosa
normal,large,large,small,versicolor
very small,very small,small,large,setosa
normal,normal,small,small,versicolor
very small,very small,small,large,setosa
normal,small,small,very small,versicolor
normal,small,very small,small,versicolor
very small,very small,small,very large,setosa
very large,very large,large,small,virginica
normal,normal,small,small,versicolor
very large,very large,very large,large,virginica
large,large,large,small,versicolor
very small,very small,very small,small,setosa
very large,very large,very large,small,virginica
very small,very small,small,small,setosa
normal,normal,small,small,versicolor
very small,very small,very small,small,setosa
normal,small,small,small,versicolor
very large,very large,very large,small,virginica
large,very large,large,small,virginica
very large,very large,very large,small,virginica
very large,normal,large,small,virginica
very small,very small,small,small,setosa
large,normal,large,small,versicolor
large,normal,large,small,versicolor
very small,very small,small,large,setosa
large,large,large,very small,virginica
large,very large,small,small,virginica
normal,normal,large,small,versicolor
normal,normal,small,small,versicolor
normal,normal,large,small,versicolor
very large,very large,large,small,virginica
large,large,large,small,versicolor
large,normal,large,small,versicolor
very large,large,large,small,virginica
very small,very small,very small,small,setosa
very small,very small,small,large,setosa
very large,very large,very large,small,virginica
very large,very large,large,small,virginica
very small,very small,small,very large,setosa
very large,very large,very large,small,virginica
large,large,large,small,virginica
large,large,large,small,versicolor
normal,normal,small,small,versicolor
very small,very small,small,small,setosa
large,large,large,small,virginica
very large,very large,large,small,virginica
large,large,large,small,versicolor
very large,large,very large,small,virginica
very large,very large,very large,large,virginica
very small,very small,very small,small,setosa
normal,normal,small,small,versicolor
very large,large,large,small,virginica
normal,normal,small,very small,versicolor
very large,very large,large,small,virginica
large,large,large,small,virginica
large,large,large,small,versicolor
large,large,large,small,versicolor
very small,very small,small,large,setosa
very large,very large,large,small,virginica
very small,very small,very small,small,setosa
normal,normal,large,small,versicolor
large,large,large,small,versicolor
normal,large,very small,small,virginica
large,very large,large,small,virginica
very large,very large,large,small,virginica
very small,very small,small,small,setosa
normal,normal,small,small,versicolor
very small,very small,very small,small,setosa
normal,small,small,small,versicolor
large,large,large,small,virginica
very small,very small,very small,small,setosa
very small,very small,very small,small,setosa
very small,very small,small,very large,setosa
normal,large,large,small,versicolor
very small,very small,small,small,setosa
very small,very small,small,large,setosa
normal,small,large,very small,versicolor
normal,large,large,small,versicolor
very small,very small,very small,small,setosa
small,normal,small,small,versicolor
very large,very large,large,small,virginica
very small,very small,small,large,setosa
very small,very small,small,small,setosa
very small,very small,very small,very small,setosa
large,very large,small,small,virginica
very small,very small,small,small,setosa
very small,very small,very small,small,setosa
very small,very small,very small,small,setosa
very large,very large,large,small,virginica
normal,normal,small,small,versicolor
very large,very large,large,small,virginica
normal,normal,small,small,versicolor
large,very large,small,small,virginica
very small,very small,very small,small,setosa
normal,large,large,very small,versicolor
very small,very small,small,large,setosa
very small,very small,small,small,setosa
large,normal,large,small,versicolor
very large,large,large,small,virginica
very large,large,very large,small,virginica
very small,very small,small,large,setosa
very large,large,large,small,virginica
