Age,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived
young,cheap,alone,1,3,male,Pair,0
middle age,normal price,alone,2,1,female,Pair,1
young,cheap,alone,3,3,female,alone,1
middle age,normal price,alone,4,1,female,Pair,1
middle age,cheap,alone,5,3,male,alone,0
old,normal price,alone,7,1,male,alone,0
teen,normal price,Pair,8,3,male,accompanied,0
young,normal price,accompanied,9,3,female,alone,1
teen,normal price,alone,10,2,female,Pair,1
teen,normal price,Pair,11,3,female,Pair,1
old,normal price,alone,12,1,female,alone,1
young,cheap,alone,13,3,male,alone,0
middle age,normal price,accompanied,14,3,male,Pair,0
teen,cheap,alone,15,3,female,alone,0
old,normal price,alone,16,2,female,alone,1
teen,normal price,Pair,17,3,male,accompanied,0
middle age,normal price,alone,19,3,female,Pair,0
middle age,normal price,alone,21,2,male,alone,0
middle age,normal price,alone,22,2,male,alone,1
teen,cheap,alone,23,3,female,alone,1
young,normal price,alone,24,1,male,alone,1
teen,normal price,Pair,25,3,female,accompanied,0
middle age,normal price,accompanied,26,3,female,Pair,1
young,expensive,accompanied,28,1,male,accompanied,0
middle age,normal price,alone,31,1,male,alone,0
very old,normal price,alone,34,2,male,alone,0
young,normal price,alone,35,1,male,Pair,0
middle age,normal price,alone,36,1,male,Pair,0
young,cheap,alone,38,3,male,alone,0
young,normal price,alone,39,3,female,accompanied,0
teen,normal price,alone,40,3,female,Pair,1
middle age,cheap,alone,41,3,female,Pair,0
young,normal price,alone,42,2,female,Pair,0
teen,normal price,accompanied,44,2,female,Pair,1
young,cheap,alone,45,3,female,alone,1
young,normal price,alone,50,3,female,Pair,0
teen,normal price,Pair,51,3,male,accompanied,0
young,cheap,alone,52,3,male,alone,0
old,normal price,alone,53,1,female,Pair,1
young,normal price,alone,54,2,female,Pair,1
very old,normal price,Pair,55,1,male,alone,0
young,normal price,alone,57,2,female,alone,1
young,cheap,alone,58,3,male,alone,0
teen,normal price,accompanied,59,2,female,Pair,1
teen,normal price,accompanied,60,3,male,accompanied,0
young,cheap,alone,61,3,male,alone,0
middle age,normal price,alone,62,1,female,alone,1
middle age,normal price,alone,63,1,male,Pair,0
teen,normal price,accompanied,64,3,male,accompanied,0
young,normal price,alone,67,2,female,alone,1
young,cheap,alone,68,3,male,alone,0
young,cheap,accompanied,69,3,female,accompanied,1
young,cheap,alone,70,3,male,accompanied,0
middle age,normal price,alone,71,2,male,alone,0
young,normal price,accompanied,72,3,female,accompanied,0
young,normal price,alone,73,2,male,alone,0
young,normal price,alone,74,3,male,Pair,0
middle age,normal price,alone,75,3,male,alone,1
young,cheap,alone,76,3,male,alone,0
teen,normal price,accompanied,79,2,male,alone,1
young,normal price,alone,80,3,female,alone,1
young,cheap,alone,81,3,male,alone,0
young,cheap,alone,82,3,male,alone,1
young,normal price,alone,84,1,male,alone,0
young,normal price,alone,85,2,female,alone,1
middle age,normal price,alone,86,3,female,accompanied,1
young,normal price,accompanied,87,3,male,Pair,0
young,expensive,accompanied,89,1,female,accompanied,1
young,cheap,alone,90,3,male,alone,0
young,cheap,alone,91,3,male,alone,0
young,cheap,alone,92,3,male,alone,0
old,normal price,alone,93,1,male,Pair,0
young,normal price,accompanied,94,3,male,Pair,0
old,cheap,alone,95,3,male,alone,0
very old,normal price,alone,97,1,male,alone,0
young,normal price,Pair,98,1,male,alone,1
middle age,normal price,Pair,99,2,female,alone,1
middle age,normal price,alone,100,2,male,Pair,0
young,cheap,alone,101,3,female,alone,0
young,normal price,Pair,103,1,male,alone,0
middle age,cheap,alone,104,3,male,alone,0
middle age,cheap,alone,105,3,male,accompanied,0
